id,name,description,website_url,source_url,additional_sources,is_core_early_stage_case,source_type,source_quality,founded_year,failed_year,country,region,category,customer_type,business_model,pricing_model,gtm_channel,stage_at_failure,funding_raised_usd,team_size,stated_failure_cause,primary_failure_cause,secondary_failure_causes,symptoms,evidence_summary,confidence_score,notes
fs_0001,Sonar,"A mobile ambient social networking app that helped users discover friends and relevant people nearby.",unknown,https://medium.com/@brett1211/postmortem-of-a-venture-backed-startup-72c6f8bec7df,https://techcrunch.com/2013/09/22/why-startups-fail-a-postmortem-for-social-newsreader-flud-and-what-to-take-from-sonars-demise/,yes,founder_postmortem,primary,2011,2013,United States,North America,social,B2C,advertising,free,viral,seed,2000000,unknown,"Founder Brett Martin wrote that Sonar failed after struggling to find product-market fit, mistaking feature requests for real signal, and failing to grow enough as a social network.",weak_retention,"distribution_failure; competition_pressure; product_market_fit_failure","false positive user feedback; engagement-growth tradeoff; competitor distraction; insufficient social graph growth","The founder postmortem says Sonar had millions of downloads and strong press but failed to turn engagement and product iterations into the growth required for a durable social network.",high,"Strong primary source. Good first case for consumer social and false-signal analysis."
fs_0002,Binpress,"A marketplace for developers to sell code libraries, SDKs, and other digital software products.",https://www.binpress.com,https://erangalperin.com/2016/02/11/binpress-postmortem/,,yes,founder_postmortem,primary,2010,2015,United States,North America,marketplace,developer,marketplace_take_rate,commission,SEO,seed,1000000,unknown,"Founder Eran Galperin wrote that the marketplace format was not a good fit for the products, developers were hard to sell to, and the concept did not scale as expected.",market_too_small,"marketplace_liquidity_failure; bad_pricing; distribution_failure","chicken-and-egg marketplace problem; one-and-done buyers; hard developer monetization; limited scale","The postmortem explains that Binpress reached meaningful revenue but developer products did not behave like a high-volume marketplace and the business hit a scale ceiling.",high,"High-quality founder postmortem with detailed marketplace mechanics."
fs_0003,onetool,"A YC-backed SaaS management startup that tried to bundle and manage business software subscriptions.",unknown,https://medium.com/@gordi/why-were-selling-our-yc-startup-onetool-as-nft-art-897e91c67a17,,yes,founder_postmortem,primary,2019,2021,Germany,Europe,SaaS,B2B,subscription,paid_subscription,partnerships,seed,unknown,unknown,"Founder Gordian Braun wrote that the original SaaS bundle model broke because vendor pricing levels varied too much and customer needs shifted toward managing existing tools.",business_model_mismatch,"bad_pricing; operational_complexity; too_broad_icp","pricing spread across SaaS vendors; model pivot; integrations required; existing-customer stack complexity","The founder postmortem says onetool's initial Setapp-for-SaaS model did not work because SaaS vendors had incompatible pricing levels and customers needed a different product than originally planned.",high,"Strong case for business model mismatch in B2B SaaS."
fs_0004,PageRank Panda,"An SEO-focused product that helped users evaluate page rank and related website metrics.",unknown,https://www.indiehackers.com/product/pagerank-panda/shut-down--M3ni5yZxiUhdLgKLDCc,,yes,founder_postmortem,primary,unknown,2020,United States,North America,SaaS,B2B,subscription,unknown,paid_ads,bootstrapped,0,unknown,"Founder Ryan Anderson said the project was too time-consuming, not gaining much traction, highly competitive, and advertising expenses were not driving expected growth.",distribution_failure,"competition_pressure; high_cac_bad_unit_economics; product_market_fit_failure","low traction; high competition; paid ads not working; time burden","The Indie Hackers shutdown post directly states that the product lacked traction and that advertising expenses did not produce the expected growth in a competitive space.",high,"Small indie case; useful because it represents the kind of micro-failure famous databases usually miss."
fs_0005,SimpleDirect,"A financing product for contractors built by a small founder-led company.",https://getsimpledirect.com,https://www.founderreality.com/why-im-shutting-down-my-5-year-startup-hard-learned-lessons-for-founders/,https://blog.getsimpledirect.com,yes,founder_postmortem,primary,2020,2025,Canada,North America,fintech,B2B,services,custom,founder_led_sales,bootstrapped,unknown,unknown,"Founder George Pu wrote that SimpleDirect conflicted with his principles, became too complex, had thin margins, depended on external APIs, and was underpriced for the level of service required.",business_model_mismatch,"bad_pricing; operational_complexity; platform_risk","thin margins; external API dependency; increasing complexity; underpricing; high-touch support","The founder postmortem frames the shutdown as a strategic sunset after recognizing that the product's complexity, margins, pricing, and operating model did not fit the founder's desired business principles.",high,"Recent case; keep but verify with original product shutdown post later."
fs_0006,Fundid,"A fintech startup helping small businesses access financing and business capital products.",https://www.getfundid.com,https://techcrunch.com/2024/04/23/fintech-fundid-shut-down-interest-rates/,https://pailor.notion.site,yes,news_article,secondary,2021,2024,United States,North America,fintech,B2B,services,custom,partnerships,seed,3250000,unknown,"Founder Stefanie Sample said rising interest rates, fintech market shifts, cap table pressure, and venture-path issues contributed to the shutdown.",fundraising_dependency,"regulatory_or_legal_pressure; business_model_mismatch; timing_problem","rising rates; strained cap table; fintech investor pullback; product direction pressure","TechCrunch reports that Fundid closed on April 1, 2024 after market conditions changed and the founder lost faith in the venture path around lending and card products.",medium,"Good fintech seed case; primary postmortem exists but should be archived or directly captured later."
fs_0007,Kite,"An AI-powered coding assistant and autocomplete tool for software developers.",https://www.kite.com,https://techcrunch.com/2022/12/10/with-kites-demise-can-generative-ai-for-code-succeed/,https://bogdan.org.ua/2022/12/28/kite-ai-coding-assistant-is-saying-farewell.html,yes,news_article,secondary,2014,2022,United States,North America,devtool,developer,subscription,freemium,product_led,series_a,17000000,unknown,"Founder Adam Smith said Kite was too early for AI-assisted programming, the technology was not ready, the product did not monetize, and the team took too long to realize it.",timing_problem,"bad_pricing; technical_complexity; product_market_fit_failure","technology not ready; failure to monetize; expensive development; weak paid conversion","TechCrunch quotes Kite's founder saying the company was more than 10 years too early to market and failed to monetize its AI coding assistant despite developer adoption.",medium,"Strong devtool case. Funding may be above strict seed but still useful as core early-stage/venture-backed devtool failure."
fs_0008,Flowtab,"A mobile ordering and payments app for bars that let customers order drinks from their phones.",https://flowtab.com,https://techcrunch.com/2013/08/31/the-decline-and-fall-of-flowtab-a-startup-story/,,yes,news_article,secondary,2011,2013,United States,North America,consumer_app,B2B2C,transaction_fee,commission,founder_led_sales,seed,unknown,unknown,"The company published a detailed death chronicle showing failed pivots, difficult bar acquisition, undercapitalization, and weak geographic density.",distribution_failure,"operational_complexity; marketplace_liquidity_failure; business_model_mismatch","hard venue acquisition; geographic density problem; premature app launch; undercapitalization","TechCrunch's detailed account describes Flowtab's struggle to get enough bars and users in the same locations, plus the operational burden of selling into hospitality venues.",medium,"Not a founder postmortem but based on founder materials and interviews; good local marketplace/payments case."
fs_0009,RewardMe,"A digital loyalty and gamification platform for offline retail and restaurant businesses.",unknown,https://yukaichou.com/entrepreneurship/account-failed-startup-rewardme-ceo/,,yes,founder_postmortem,primary,2010,2012,United States,North America,SaaS,B2B,enterprise_contract,enterprise,sales_led,seed,1000000,unknown,"Founder Yu-kai Chou wrote that RewardMe had customer interest and a large chain deal but lacked runway, could not raise fast enough, and key team members burned out before deployment and revenue could arrive.",fundraising_dependency,"sales_cycle_too_long; operational_complexity; founder_conflict","long enterprise sales cycle; delayed revenue collection; team burnout; insufficient runway","The founder postmortem explains that RewardMe closed a large chain deal too late relative to runway, failed to secure the next round quickly, and lost execution capacity after team burnout.",high,"Schema gap: taxonomy has no sales_cycle_too_long enum yet, but this cause is important. Needs taxonomy v1.2 update."
fs_0010,Hakeema,"A bootstrapped SaaS platform for social and public sector organizations.",unknown,https://www.indiehackers.com/product/hakeema/closed-our-profitable-saas-after-3-years--Mug6SRRh3T48-w8dGuW,,yes,founder_postmortem,primary,2019,2022,United States,North America,SaaS,B2B,subscription,custom,founder_led_sales,bootstrapped,0,unknown,"Founder Kyle Cureau said nonprofit customers needed custom platforms, turning the company into a profitable software agency rather than a scalable SaaS company.",business_model_mismatch,"operational_complexity; too_broad_icp","custom implementations; services-like work; profitable but not scalable; nonprofit customer requirements","The founder post says Hakeema had revenue and retention, but customer needs pushed the team toward custom agency work instead of a scalable software company.",high,"Moved from test cases into core MVP because evidence quality and early-stage fit are strong."
